bur:akzata,50:axala:axata:p:
bur:paryavarte,10842:paryAvarte:t:parya/paryA
bur:paryaSvasayAmi,10843:paryASvasayAmi:t:parya/paryA
bur:paryuzAmi,10854:paryfzAmi:t: yu/yf
bur:parva,10858:parvaka:parva:t: next headword is parvaka
bur:pala,10867:pal:t:
bur:palla,10881:pall:t:
bur:pAYcArTika,10917:pa1nca1rthika:pa1n5ca1rthika:p: n/n5
bur:pAw,10919:pa1t:pa1t2:t:
bur:pAWa,10929:{%(pa1t2h)%}:{%pa1t2ha%} {%(pa1t2h)%}:t: a word was missed by typist
bur:pArIRA,11014:pArIRa:t: RA/Ra
bur:picca,11059:picc:t:
bur:pipArcazAmi,11094:piparcizAmi:p: Arca/arci.  'i'-sign incomplete
bur:pil,11111:{%pil. petaya1mi%}:{%pil%}. {%pelaya1mi%}:t: markup change; pet/pel
bur:pInoDnI,11140:pi1nodni1:pi1nodhni1:t: d/dh
bur:pIl,11143:{%pi1l. pi1la1mi%}:{%pi1l%}. {%pi1la1mi%}:t: change markup
bur:pul,11223:{%pul. pola1mi%}:{%pul%}. {%pola1mi%}:t: markup change
bur:puz,11234:{%pus2. pus2n2a1mi%}:{%pus2%}. {%pus2n2a1mi%}:t:change markup
bur:pazwi,11238:puzwi:p: pa/pu. By alph. order.
bur:puMs,11245:pun5s.:pun4s.:t: n5/n4
bur:pUR,11251:{%pu1n2. pu1n2aya1mi%}:{%pu1n2%}. {%pu1n2aya1mi%}:t:markup
bur:puru,11264:pUru:p: pu/pU. by alph. order
bur:pf,11275:{%pr2. pr2n2omi%}:{%pr2%}. {%pr2n2omi%}:t:markup change
bur:pfTA,11289:pr2t2ha1:pr2tha1:p: t2h/th. Alph. order.
bur:pfTivI,11291:prthivi1:pr2thivi1:t: r/r2
bur:pOnaHpunya,11364:paonaspunya:paonaspunya:n: BUR uses 's' for  visarga in IAST
bur:prakASa,11402:praka1ca:praka1ça:p: c/ç
bur:prakrISAmi,11416:prakroSAmi:t: I/o. from kruS
bur:pragalBa,11436:pragabha:pragalbha:t:
bur:prajYapti,11492:prajn5apii:prajn5apti:t:
bur:pratati,11532:prathati:pratati:p: th/t. Print stray mark
bur:pratitizWAmi,11582:pratitis2t2a1mi:pratitis2t2ha1mi:t:
bur:pratidozayAti,11592:pratidozayAmi:p: Ati/Ami
bur:pratipaSyAmi,11611:pratipacya1mi:pratipaçya1mi:t: c/ç
bur:pratiBUzAma,11637:pratiBUzAmi:p: Ama/Ami
bur:pratiSrava,11694:prattiçrava:pratiçrava:p:tt/t.  Alph. order
bur:pratIke,11742:pratILe:t:
bur:patyaNga,11758:pratyaNga:p: paty/praty.  Alph. order
bur:pratyutpanna,11807:prayutpanna:pratyutpanna:p: pray/praty.
bur:pratyudyAni,11811:pratyudyAmi:p: Ani/Ami. 1st sg. pres. verb ending
bur:praqunomi,11847:pradunomi:p: qu/du
bur:praquzyAmi,11848:praduzyAmi:p: qu/du
bur:prADa,11866:praDi:p: By alph. order.
bur:praDvaMsayAti,11871:praDvaMsayAmi:p: Ati/Ami. 1st. sg. pre. verb ending
bur:prapitAmaha,11890:prapita1m2aha:prapita1maha:p: m2/m
bur:pramIRAmi,11940:prami1n2emi:prami1n2a1mi:t: emi/a1mi. print blurred
bur:prasyaMnde,12125:prasyande:p: Stray dot over 'y' is not anusvAra
bur:praharza,12135:praha1rs2a:prahars2a:p: a1/a. By alph. order, cf. mw, etc.
bur:prAgATa,12159:pra1gha1tha:pra1ga1tha:p: gh/g. Alph. order
bur:prAcIna,12179:pra1cina:pra1ci1na:t: i/i1
bur:prARahitA,12196:prARihitA:p: Ra/Ri.
bur:prertvan,12278:pretwan:prertwan:t:
bur:preLe,12279:prel2e:prel2e:n: False positive - IAST-SLP conversion problem
bur:pratpatAmi,12295:protpatAmi:p: prat/prot. By alph. order. pra+ut
bur:plakz,12321:{%plax. plaxa1mi; plaxe%}:{%plax%}. {%plaxa1mi%}; {%plaxe%}:t: change markup
bur:Pakk,12342:{%phakk. phakka1mi%}:{%phakk%}. {%phakka1mi%}:t:change markup
bur:PAw,12363:pa1t2:pha1t2:p: p/ph
bur:PutPusa,12373:PupPusa:t:
bur:Pall,12374:Pull:p: Pa/Pu. Alph. order.
bur:PeraRqa,12377:peran2d2a:pheran2d2a:p: p/ph. alph. order; cf. mw,etc.
bur:bad,12392:{%bad. bada1mi%}:{%bad%}. {%bada1mi%}:t:change markup
bur:banD,12406:{%bandh. badhna1mi, badhne%}:{%bandh%}. {%badhna1mi%},{%badhne%}:t: change markup
bur:barb,12426:{%barb. barba1mi%}:{%barb%}. {%barba1mi%}:t: change markup
bur:bAq,12477:{%ba1d2. ba1d2e%}:{%ba1d2%}. {%ba1d2e%}:t:change markup
bur:bAnDakineya,12487:bha1ndhakineya:ba1ndhakineya:p: bh/b
bur:bunD,12562:{%bundh. budhna1mi%}:{%bundh%}. {%budhna1mi%}:t: change markup
bur:buz,12570:bhus2:bus2:p: bh/b. Alph. order
bur:bus,12572:{%bus. busya1mi%}:{%bus%}. {%busya1mi%}:t:change markup
bur:Baw,12642:Bad:t: w/d
bur:Bal,12669:{%bhalet%} {%bal. bhale%}:{%bhal%} et {%bal%}. {%bhale%}:t:change markup
bur:Baza,12687:bas2a:bhas2a:p: b/bh. Alph. order
bur:BA,12696:{%bha1. bha1mi%}:{%bha1%}. {%bha1mi%}:t: change markup
bur:BF,12821:{%bhr21. bhr2n2a1mi%}:{%bhr21%}. {%bhr2n2a1mi%}:t:change markup
bur:BraMS,12869:{%bhran4ç. bhran4çe%}:{%bhran4ç%}. {%bhran4çe%}:t: change markup
bur:BrAS,12877:{%bhra1ç. bhra1çe%}:{%bhra1ç%}. {%bhra1çe:t:change markup
bur:Bro,12881:{#*Bro#}¦ {%bhri1. bhri1n2a1mi%}:{#*BrI#}¦ {%bhri1%}. {%bhri1n2a1mi%}:t:
bur:BrUR,12886:{%bhru1n2. bhru1n2aye%}:{%bhru1n2%}. {%bhru1n2aye%}:t: change markup
bur:Brez,12892:{%bhres2. bhres2a1mi, bhres2e%} :{%bhres2%} . {%bhres2a1mi%} , {%bhres2e:t:change markup
bur:mac,12931:{%mac. mace%}:{%mac%}. {%mace%}:t:change markup
bur:mandoBUta,13037:mandIBUta:t:o/I
bur:marb,13105:{%marb. marba1mi%}:{%marb%}. {%marba1mi%}:t:change markup
bur:mal,13116:{%mal. male%}:{%mal%}. {%male:t:change markup
bur:marza,13136:mazi:t: rza/zi
bur:nahakka,13155:mahakka:p: n/m
bur:naharloka,13159:maharloka:p: n/m
bur:nahasa,13163:mahasa:p: n/m
bur:gahiman,13170:mahiman:p: g/m
bur:gahotsava,13186:mahotsava:p: g/m
bur:maMhizWa,13198:man4his2tha:man4his2t2ha:t: th/t2h
bur:mANkz,13206:{%ma1n3x. ma1n3xa1mi%}:{%ma1n3x%}. {%ma1n3xa1mi%}:t:change markup
bur:mArakata,13283:marakata:ma1rakata:p: mara/ma1ra. By alph. order.
bur:mAhayAma,13328:mAhayAmi:p: Ama/Ami
bur:miT,13348:{%mith. metha1mi, methe%}:{%mith%}. {%metha1mi%}, {%methe%}:t: markup change
bur:mid,13354:{%mid. medya1mi%}:{%mid%}. {%medya1mi%}:t:change markup
bur:mimArjizAmi,13369:mimArqizAmi:t: j/q
bur:miSr,13382:{%miçr. miçraya1mi%}:{%miçr%}. {%miçraya1mi%}:t: change markup
bur:miz,13385:{%mis2. mis2a1mi%}:{%mis2%}. {%mis2a1mi%}:t:change markup
bur:mI,13395:{%mi1. maya1mi%}:{%mi1%}. {%maya1mi%}:t:change markup
bur:mIl,13404:{%mi1l. mi1la1mi%}:{%mi1l%}. {%mi1la1mi%}:t:change markup
bur:mIv,13406:{%mi1v. mi1va1mi%}:{%mi1v%}. {%mi1va1mi%}:t:change markup
bur:mukruzWaka,13416:mukuzWaka:t:kru/ku
bur:muc,13424:{%muc. mun5ce%}:{%muc%}. {%mun5ce%}:t:change markup
bur:muq,13438:{%mud2. mud2a1mi%}:{%mud2%}. {%mud2a1mi%}:t:change markup
bur:muRW,13441:{%mun2t2h. mun2t2he%}:{%mun2t2h%}. {%mun2t2he%}:t:change markup
bur:muRq,13443:{%mun2d2. mun2d2a1mi%}:{%mun2d2%}. {%mun2d2a1mi%}:t:change markup
bur:mud,13446:{%mud. mode%}:{%mud%}. {%mode%}:t: change markup
bur:mud,13447:{%mud. modaya1mi%}:{%mud%}. {%modaya1mi%}:t:change markup
bur:murIya,13467:mura1ya:muri1ya:t: a1/i1
bur:murC,13468:{%murch. mu1rccha1mi%}:{%murch%}. {%mu1rccha1mi%}:t: change markup
bur:murva,13471:murv:p: missing virAma. verb.
bur:mU,13496:{%mu1. mava1mi, mave%}:{%mu1%}. {%mava1mi%}, {%mave%}:t: change markup
bur:mUrCa,13504:mUrC:p: missing virAma. verb.
bur:mUrRa,13508:murn2a:mu1rn2a:p: u/u1. Alph. order
bur:mfq,13526:{%mr2d2. mr2d2a1mi%}:{%mr2d2%}. {%mr2d2a1mi%}:t: change markup
bur:mfR,13531:{%mr2n2. mr2n2a1mi%}:{%mr2n2%}. {%mr2n2a1mi%}:t:change markup
bur:mftPalI,13545:mr2lphali1:mr2tphali1:t: l/t
bur:mfqu,13556:mfdu:p: q/d. Alph. order, cf. mw, etc.
bur:sew,13577:mew:p: s/m.  Alph. order
bur:mETuna,13624:methuna:maethuna:p: e/ae
bur:yaqu,13722:yadu:p: qu/du
bur:yaqu,13723:yadu:p: qu/du
bur:yayAmi,13736:yayAti:t:
bur:payu,13739:yayu:t: p/y
bur:yas,13757:{%yas. yasa1mi%}:{%yas%}. {%yasa1mi%}:t: change markup
bur:yA,13760:{%ya1. ya1mi%}:{%ya1%}. {%ya1mi%}:t: change markup
bur:yAc,13762:{%ya1c. ya1ca1mi, ya1ce%}:{%ya1c%}. {%ya1ca1mi%}, {%ya1ce%}:t: change markup
bur:yAjYaseno,13768:{#yAjYaseno#}¦ {%ya1jn4aseni1%}:{#yAjYasenI#}¦ {%ya1jn5aseni1%}:t:
bur:yAyajmi,13801:ya1yajami:ya1yajmi:t: jami/jmi
bur:yiyAcizAmi,13826:yiya1çis2a1mi:yiya1cis2a1mi:p: ç/c
bur:yu,13828:{%yu. yaomi%}:{%yu%}. {%yaomi%}:t:change markup
bur:yu,13829:{%yu. yuyomi%}:{%yu%}. {%yuyomi%}:t:change markup
bur:yaNg,13836:{%yun3g. yun3ga1mi%}:{%yun3g%}. {%yun3ga1mi%}:t:change markup
bur:yudigDa,13837:yuNgDi:t:
bur:yuD,13848:{%yudh yudhye%}:{%yudh%} {%yudhye%}:t:change markup
bur:yuyukzAmi,13854:yuyxa1mi:yuyuxa1mi:p: yuyx/yuyux
bur:rAta,13962:rati:p: Ata/ati. by alph. order.
bur:ramb,13993:{%ramb. ramba1mi%}:{%ramb%}. {%ramba1mi%}:t:change markup
bur:riK,14113:{%rikh. rekha1mi%}:{%rikh%}. {%rekha1mi%}:t:change markup
bur:rIQA,14155:ri1d2a1:ri1d2ha1:t: d2/d2h
bur:ru,14160:{%ru. rave%}:{%ru%}. {%rave%}:t:change markup
bur:ruw,14183:rud:t: w/d
bur:rOw,14313:rOt2,:raot2,:t: O/ao
bur:lak,14323:{%lak. la1kaya1mi%}:{%lak%}. {%la1kaya1mi%}:t:change markup
bur:lAYC,14437:{%la1n5ch. la1n5cha1mi%}:{%la1n5ch%}. {%la1n5cha1mi%}:t:change markup
bur:laYCana,14438:lAYCana:p: la/lA. By alph. order
bur:lI,14500:{%li1. laya1mi%}:{%li1%}. {%laya1mi%}:t:change markup
bur:lI,14501:{%li1. lina1mi%}:{%li1%}. {%lina1mi%}:t:change markup
bur:lunT,14528:{%lunth. luntha1mi%}:{%lunth%}. {%luntha1mi%}:t:change markup
bur:lewyAmi,14561:letya1mi:let2ya1mi:t:t/t2
bur:loWayAmi,14586:lot2aya1mi:lot2haya1mi:t: t2/t2h
bur:vaqiSa,14667:vadiça:vad2iça:p: d/d2
bur:vatra,14727:vanra:p: alph. order, cf mw. etc
bur:vaskarAdikA,14917:vaskarAwikA:t:
bur:vastikarmAdya,14922:vastikarmAQya:t:
bur:vAkpawu,14948:vakpat2u:va1kpat2u:p: a/a1
bur:vAgujI,14957:vaguji1:va1guji1:p: a/a1
bur:vAcogukti,14977:vAcoyukti:p: g/y. poor print
bur:vawwaka,14988:vAwwaka:p: va/vA. Alph. order
bur:vadroRavAyasa,15018:vAdroRavAyasa:p: va/vA. alph. order
bur:vAneya,15031:vaneya:va1neya:p: va/va1
bur:vAraRaso,15057:vAraRasI:t: o/I
bur:vArdDaka,15089:varddhaka:va1rddhaka:p: va/va1
bur:vAlaka,15104:va1taka:va1laka:t: t/l
bur:vArvAdmi,15108:vAvadmi:t:
bur:vAsayAmi,15135:vasaya1mi:va1saya1mi:p: va/va1
bur:vasara,15138:vAsara:p: va/vA. By alph. order
bur:vigaRa,15254:viguRa:p: ga/gu. Alph. order, cf mw. etc.
bur:vicakzus,15272:viçaxus:vicaxus:p:ç/c
bur:viwkArikA,15332:vit2aka1rika1:vit2ka1rika1:t: t2a/t2
bur:vitAqayAsi,15363:vitAqayAmi:p: s/m
bur:viniSicanomi,15501:viniScinomi:t:
bur:viniHsfta,15509:vinissr2ta:vinissr2ta:n:BUR uses 's' for  visarga in IAST
bur:vipaSicat,15536:vipaScit:t:
bur:viyAma,15660:viya1mi:viya1ma:t: mi/ma
bur:virajyAmi,15672:{%virajyami, virajye%}:{%virajyami%}, {%virajye%}:p: ami/a1mi. verb form
bur:vivaYcize,15750:vivan5cise:vivan5cis2e:p: s/s2. cf. MW vaYc
bur:viSasAmi,15820:vi1çasa1mi:viçasa1mi:t:i1/i
bur:viSrayAmi,15850:vicraya1mi:viçraya1mi:p: c/ç
bur:visajAmi,15917:visfjAmi:p: sa/sf
bur:vowikA,15972:vIwikA:t: o/I
bur:vfkza,16001:{%vr2xa m.%}:{%vr2xa%} m.:t:change markup
bur:vfj,16003:vrj.:vr2j.:p: r/r2
bur:vfzaBAsA,16040:vr2s2abhsa1:vr2s2abha1sa1:t:
bur:vfzasfkkA,16046:vfzasfkkI:p: A/I
bur:vfh,16064:vfMh:t:
bur:vekawa,16067:vekal2a:vekat2a:p: l2/t2
bur:veDas,16108:vedas:vedhas:t: d/dh
bur:vEkaNkata,16152:vaekan3kala:vaekan3kata:p: l/t. Cf. mw, etc.
bur:vEnASika,16193:vaena1cika:vaena1çika:t: c/ç
bur:vErAja,16213:vaeroja:vaera1ja:t:o/a1
bur:vyatitarAmi,16289:vyalitara1mi:vyatitara1mi:t: l/t
bur:vyatihe,16299:vyalihe:vyatihe:p: l/t
bur:vyaW,16304:vyaT:t: W/T
bur:vyaD,16308:{%vyadh. vidhya1mi%}:{%vyadh%}. {%vidhya1mi%}:t:change markup
bur:vyapakarzAmi,16314:vyapakars2ars2a1mi:vyapakars2a1mi:t:
bur:vyapadiSAmi,16318:vyapadiçu1mi:vyapadiça1mi:t: u1/a1. Print poor
bur:vyAcCidye,16424:vyucCidye:t:yA/yu
bur:vye,16440:{%vye. vyaya1mi, vyaye%}:{%vye%}. {%vyaya1mi%}, {%vyaye%}:t:change markup
bur:SaWa,16522:çatha:ça2tha:p: th/t2h
bur:SarIra,16605:çarira:çari1ra:t:
bur:SaMl,16662:SaMst:p: 'st' ligature wrong. cf MW72
bur:SAkavilva,16669:çakavilva:ça1kavilva:p:ça/ça1
bur:SAnti,16716:ça1onti:ça1nti:t:a1o/a1
bur:SAlipizWa,16750:SAlipizwa:t:
bur:SipavizWa,16803:Sipavizwa:t:
bur:Sac,16888:Suc:p: a/u. By alph. order.
bur:SuR,16895:{%çun2. çun2a1mi%}:{%çun2%}. {%çun2a1mi%}:t:change markup
bur:SuB,16910:SuBa:t:
bur:Sazka,16933:Suzka:p: Sa/Su
bur:SoR,17007:çon.:çon2.:p: n/n2
bur:SoSuDye,17017:{%çoçudhye; çoçodhmi,%}:{%çoçudhye%}; {%çoçodhmi%},:t:change markup
bur:SraW,17073:SraT:t: W/T
bur:SroR,17133:çron.:çron2.:p: n/n2
bur:ziNga,17218:ziqga:t:
bur:sakat,17251:sakft:p: ka/kf
bur:saNkaWA,17267:saNkaTA:t:W/T
bur:saYCAdayAmi,17366:san5ca1daya1mi:san5cha1daya1mi:t:c/ch
bur:sandaMSa,17499:sadan4ça:sandan4ça:p: sad/sand
bur:sannyasAmi,17555:sannya1sami:sannyasa1mi:p: a1sami/asa1mi
bur:samaBidravAmi,17638:sa1mabhidrava1mi:samabhidrava1mi:p: sa1m/sam. alph. order
bur:samavaboDAmi,17673:samavaboda1mi:samavabodha1mi:t:d/dh
bur:samavasIdAmi,17677:samavasida1mi:samavasi1da1mi:t:sid/si1d
bur:samavasTita,17681:somavasthita:samavasthita:t: o/a
bur:samasTalI,17695:samasthali:samasthali1:t: i/i1
bur:samAdiSAmi,17722:sama1dica1mi:sama1diça1mi:p: c/ç
bur:jamutsarpAmi,17831:samutsarpAmi:p: j/s
bur:sagudagranTAmi,17848:samudgranTAmi:t:
bur:sampibAmi,17932:sampibha1mi:sampiba1mi:p: bh/b
bur:samprakxpta,17945:samprakl2ipta:samprakl2ipta:n:False positive - IAST-SLP conversion problem
bur:samprAtaroDaka,17959:sampratiroDaka:p:
bur:sampratiSrAvayAmi,17960:sampraticra1vaya1mi:sampratiçra1vaya1mi:t:c/ç
bur:sambAkfta,18016:sambha1kr2ta:samba1kr2ta:p: bh/b
bur:samvfRomi,18129:samvr2nomi:samvr2n2omi:p: n/n2
bur:saMSuzyAmi,18284:sançus2ya1mi:san4çus2ya1mi:p: san/san4
bur:saMstfRomi,18317:san4str2nomi:san4str2n2omi:p:str2n/str2n2
bur:saMsPowa,18326:san4sphet2a:san4sphot2a:t: e/o
bur:sADyE,18363:sAQyE:t: Dy/Qy
bur:sAtyakti,18371:sAtyaki:t:kt/k
bur:sADvanindita,18392:sa1dhwanindhita:sa1dhwanindita:t: nindh/nind
bur:sAmrAviRa,18448:samra1vin2a:sa1mra1vin2a:p: sam/sa1m. Alph. order
bur:sAsmArma,18517:sAsmarmi:p: cf. MW (intens. of smf)
bur:sinAvAlI,18555:sinIvAlI:p: nA/nI. cf. MW, etc.
bur:sisIrzAmi,18582:sisi1s2a1mi:sisi1rs2a1mi:t:
bur:sisfpsAmi,18585:sisr2sa1mi:sisr2psa1mi:t:sr2/sr2p
bur:sutAtmajA,18663:sata1tmaja1:suta1tmaja1:p:sa/su. alph. order
bur:sutIkzRa,18666:sutixn2a:suti1xn2a:t: i/i1
bur:surapriya,18790:surapri1ya:surapriya:t: i1/i
bur:solluRWa,19046:sollun2tha:sollun2t2ha:p: th/t2h.
bur:sOKasuptika,19056:saokasuptika:saokhasuptika:p: k/kh
bur:sOBagya,19077:sOBAgya:t: Ba/BA
bur:stam,19132:{%stam. stama1mi%}:{%stam%}. {%stama1mi%}:t:change markup
bur:sTAsnu,19216:stha1nu:stha1snu:t:
bur:hulahulI,19661:hulahuli:hulahuli1:t: i/i1
bur:hfzIka,19682:hr2s2ika:hr2s2i1ka:t: i/i1
bur:hfzIkeSa,19683:hr2s2ikeça:hr2s2i1keça:p: i/i1
bur:helaYcI,19706:helan5ci:helan5ci1:t: i/i1
bur:hEyaNgavIna,19717:haeyan3gavina:haeyan3gavi1na:p:i/i1
bur:hrImat,19758:hr2i1mat:hri1mat:p: r2/r
; extra
bur:aSlezA,1816:{%açles2a1)%}:{%açles2a1%}:t: remove parenthesis
bur:parAkarzAmi,10477:{%para1kars2a1mikrs)%}:{%para1kars2a1mi%} {%(krs)%}:t:change markup
bur:vraj,16448:{%vraj)%}:{%vraj%}:p: remove parenthesis
